39	23.3.10	"Köhler"	"02C038"	"02C038c1"	"Corning 1.1mm"	668,00	647	200	10	20,00	30,00	66,7%	"Vergleich Kristallinität Raman-XRD"					
40	23.3.10	"Köhler"	"01C341"	"01C341c1"	"Corning 1.1mm"	668,00	647	200	10	20,00	30,00	42,1%	"Vergleich Kristallinität Raman-XRD"					
41	24.3.10	"Bosquet"	"10L0395-1-3"	"10L0395-1-3c1"	"Corning 1.1mm"	668,00	647	200	10	30,00	30,00	71,3%						
42	24.3.10	"Bosquet"	"10L0395-2-2"	"10L0395-2-2t1"	"ZnO geätzt"	668,00	647	200	10	30,00	30,00	68,2%						
43	24.3.10	"Bosquet"	"10L0395-1-2"	"10L0395-1-2t1"	"ZnO geätzt"	668,00	647	200	10	30,00	30,00	70,6%						
44	24.3.10	"Bosquet"	"10L0395-3-1"	"10L0395-3-1t1"	"ZnO geätzt"	668,00	647	200	10	30,00	30,00	74,3%						
45	24.3.10	"Bosquet"	"10L0395-4-2"	"10L0395-4-2t1"	"ZnO geätzt"	668,00	647	200	10	30,00	30,00	75,3%						
46	24.3.10	"Bosquet"	"10L0395-2-1"	"10L0395-2-1c1"	"Corning 1.1mm"	668,00	647	200	10	30,00	30,00	64,4%						
47	25.3.10	"Bosquet"	"10L0395-2-1"	"10L0395-2-1c2"	"Corning 1.1mm"	500,00	488	150	10	30,00	30,00	71,2%						
48	25.3.10	"Bosquet"	"10L0395-4-2"	"10L0395-4-2t2"	"ZnO geätzt"	500,00	488	150	10	30,00	30,00	75,2%						
49	25.3.10	"Bosquet"	"10L0395-3-1"	"10L0395-3-1t2"	"ZnO geätzt"	500,00	488	150	10	30,00	30,00	74,2%						
50	25.3.10	"Bosquet"	"10L0395-1-2"	"10L0395-1-2t2"	"ZnO geätzt"	500,00	488	150	10	30,00	30,00	69,7%						
51	25.3.10	"Bosquet"	"10L0395-2-2"	"10L0395-2-2t2"	"ZnO geätzt"	500,00	488	150	10	30,00	30,00	69,4%						
52	25.3.10	"Bosquet"	"10L0395-1-3"	"10L0395-1-3c2"	"Corning 1.1mm"	500,00	488	150	10	30,00	30,00	69,5%						
53	25.3.10	"Muthmann"	"10s128-1"	"10s128-1c1"	"Corning 1.1mm"	500,00	488	150	10	30,00	30,00	45,6%	"<p>"					
