Nr.	Datum	Operator	Schicht	Kammer	vSubstr LQ	Pendel#	H2	SiH4	SC	TMB	CH4	CO2	PH3	Gas?	Gasfluss	t	p	P	Pump nach	f	del	Ts	Th	Th depo	Subst	Subst	Anzahl	Pr	CL	CT	UDC	Basis p	d	R	?d/d¯	Deplet	R dyn	h	FF	Voc	jsc	Rs	FF rot	jsc rot	FF blau	jsc blau	j0	n	Reflekt	Anneal	sd nT	sd vT/oT	sph	Photosens	Krist (%)	Krist (%)	Sims [O]	Sims [C]	Sims [N]	Sims [B]	Sims [?]	PDS E04	PDS a 1,2	H2	SiH4	TMB	CH4	CO2	PH3		Bemerkung					Hilfe-Spalten					
					(m/s)	LQ	(sccm)	(sccm)	(%)	(sccm)	(sccm)	(sccm)	(sccm)		(sccm)	(s)	(mbar)	(W)	Schicht (s)	(Hz)	(mm)	(°C)	(°C)	(°C)	Größe	Material	Gläser	(W)			(V)	(mbar)	(nm)	(Å/s)	(%)	(%)	(nm·m/min)	(%)	(%)	(mV)	(mA/cm²)	(W)	(%)	(mA/cm²)	(%)	(mA/cm²)	(mA/cm²)	(-)			(S/cm)	(S/cm)	(S/cm)	(-)	488 nm	647 nm	(cm-3)	(cm-3)	(cm-3)	(cm-3)	(cm-3)	(eV)	eV (cm-1)	Cal sccm	Cal sccm	Cal sccm	Cal sccm	Cal sccm	Cal sccm				Größe	Material		DS-Zeile	Leitf-Zeile	Cryst-Zeile	Sims-Zeile	PDS-Zeile	Cal-Zeile
																																																																												#NV	#NV	#NV	#NV	#NV	#NV
10D191	07.05.2010	JW	a(i)	1			377	61.3	10.87							1720	4	33		13.56					10x10	Asahi-U	6						335	1.95	8.15	16.74																												339.59	41.41											169	#NV	#NV	#NV	#NV	26
10D192	07.05.2010	JW	a(n)	1			454	83	11.75				22.6			90	4	34		13.56					10x10	Asahi-U	6																																					417.02	55.54				14.2							#NV	#NV	#NV	#NV	#NV	26
10D193	07.05.2010	JW	CO2	1								150				120	6	180		13.56					Dummy	Übrig																																										155.2								#NV	#NV	#NV	#NV	#NV	26
																																																																												#NV	#NV	#NV	#NV	#NV	#NV
10D194	10.05.2010	TZ	a(p)	1			285	47	9.31	6	30					50	4	27		13.56		180			10x10	Asahi-U	4						9	1.8		25.23		8.76	73	883	13.6	5.3	74.2	3.83	74.5	3.09	7.70E-10	1.46	Ag-1	30' 160°C														247.33	25.39	7.58	25.58			1,4,6,9						#NV	#NV	#NV	#NV	#NV	26
10D195	10.05.2010	TZ	CO2	1								200				120	6	180		13.56					Dummy	Übrig												8.75	73	878	13.65	6	74.2	3.88	74.5	3.12	9.50E-10	1.47	Ag-4	30' 160°C																		206.93			"analog zu 10D140 ; i-Schicht auf 310 nm ausgelegt"					#NV	#NV	#NV	#NV	#NV	26
10D196	10.05.2010	TZ	a(i)	2	0	0	571	314	23.07							710	1	50 / 64		60		180			10x10	Asahi-U	4						340.75	4.8	3.08	8.63		8.6	72.9	884	13.36	5.3	74.7	3.73	75.1	3.01	7.70E-10	1.47	Ag-6	30' 160°C														660.19	197.95											173	#NV	#NV	#NV	#NV	26
10D197	10.05.2010	TZ	a(n)	1			547	91	8.69				23			85	4	34		13.56		180			10x10	Asahi-U	4						15.22	1.79		10.5		8.59	73	882	13.34	5.4	74.3	3.68	75.3	3.04	7.80E-10	1.46	Ag-9	30' 160°C														637.52	60.69				14.45							#NV	#NV	#NV	#NV	#NV	26
10D198	10.05.2010	TZ	CO2	1								200				120	6	180		13.56					Dummy	Übrig																																										206.93								#NV	#NV	#NV	#NV	#NV	26
																																																																												#NV	#NV	#NV	#NV	#NV	#NV
10D199	10.05.2010	TZ	a(p)	1			285	47	9.31	6	30					50	4	27		13.56		180			10x10	Asahi-U	4						9	1.8		25.23		8.48	70.4	900	13.4	8.5	73.2	3.84	74	2.99	1.30E-09	1.53	Ag-1	30' 160°C														247.33	25.39	7.58	25.58			1,4,6						#NV	#NV	#NV	#NV	#NV	26
10D200	10.05.2010	TZ	CO2	1								200				120	6	180		13.56					Dummy	Übrig												8.58	70.2	900	13.58	9.1	72.2	3.96	73.1	3.05	1.60E-09	1.55	Ag-4	30' 160°C																		206.93			"analog zu 10D140 ; i-Schicht mit doppeltem H2-Fluss gestartet (grading i-Schicht)"					#NV	#NV	#NV	#NV	#NV	26
10D201	10.05.2010	TZ	a(i)	2	0	0	1100	314	14.56							60	1	50 / 64		60		180		300	10x10	Asahi-U	4						347	57.83	5.13	103.97		8.56	72.7	902	13.05	6	74.7	3.66	75.3	2.94	7.90E-10	1.51	Ag-6	30' 160°C														1161.68	197.95						Position 9 auf Glasseite beschichtet					177	#NV	#NV	#NV	#NV	26
10D201	10.05.2010	TZ	a(i)	2	0	0	571	314	23.07							650	1	50 / 64		60		180		300	10x10	Asahi-U	4						347	5.34	5.13	9.6																												660.19	197.95											177	#NV	#NV	#NV	#NV	26
10D202	10.05.2010	TZ	a(n)	1			547	91	8.69				23			85	4	34		13.56		180			10x10	Asahi-U	4						15.22	1.79		10.5																												637.52	60.69				14.45							#NV	#NV	#NV	#NV	#NV	26
10D203	10.05.2010	TZ	CO2	1								200				120	6	180		13.56					Dummy	Übrig																																										206.93								#NV	#NV	#NV	#NV	#NV	26
																																																																												#NV	#NV	#NV	#NV	#NV	#NV
10D204	10.05.2010	TZ	a(p)	1			285	47	9.31	6	30					50	4	27		13.56		180			10x10	Asahi-U	4						9	1.8		25.23		9.02	72.3	907	13.76	5.9	73.5	4.12	75.5	3	1.10E-09	1.53	Ag-1	30' 160°C														247.33	25.39	7.58	25.58			1,4,6,9						#NV	#NV	#NV	#NV	#NV	26
10D205	10.05.2010	TZ	CO2	1								200				120	6	180		13.56																		9.01	72.8	907	13.65	5.6	74	4.11	75	2.97	9.90E-10	1.53	Ag-4	30' 160°C																		206.93			"analog zu 10D140 ; i-Schicht mit dreifachem H2-Fluss gestartet (grading i-Schicht)"					#NV	#NV	#NV	#NV	#NV	26
10D206	10.05.2010	TZ	a(i)	2	0	0	1600	314	10.67							75	1	50 / 64		60		180		290	10x10	Asahi-U	4						358.25	47.77	2.35	85.88		8.81	72.2	908	13.42	6.1	74.4	3.9	75.8	2.97	7.80E-10	1.52	Ag-6	30' 160°C														1656.69	197.95						Temperatur des Heizer bei i-Schicht konstant auf 290°C gestellt					197	#NV	#NV	#NV	#NV	26
10D206	10.05.2010	TZ	a(i)	2	0	0	571	314	23.07							650	1	50 / 64		60		180		290	10x10	Asahi-U	4						358.25	5.51	2.35	9.91		8.89	72	907	13.62	6.2	73.5	4.06	75.2	2.98	9.60E-10	1.53	Ag-9	30' 160°C														660.19	197.95											197	#NV	#NV	#NV	#NV	26
10D207	10.05.2010	TZ	a(n)	1			547	91	8.69				23			85	4	34		13.56		180			10x10	Asahi-U	4						15.22	1.79		10.5																												637.52	60.69				14.45							#NV	#NV	#NV	#NV	#NV	26
10D208	10.05.2010	TZ	CO2	1								200				120	6	180		13.56																																																206.93								#NV	#NV	#NV	#NV	#NV	26
																																																																												#NV	#NV	#NV	#NV	#NV	#NV
10D209	11.05.2010	JW	a(p)	1			322	47	8.2	6.1	27.8					50	4	27		13.56		160			10x10	Asahi-U	2					9.00E-07																																284.32	25.39	7.7	23.78									#NV	#NV	#NV	#NV	#NV	26
10D210	11.05.2010	JW	a(i)	1			963	61.3	3.87							205	4	33		13.56		160			10x10	Asahi-U	2					9.00E-07	355	17.32	2.82	148.81																												1029.79	41.41											181	#NV	#NV	#NV	#NV	26
10D210	11.05.2010	JW	a(i)	1			377	61.3	10.87							1720	4	33		13.56		160			10x10	Asahi-U	2						355	2.06	2.82	17.74																												339.59	41.41											181	#NV	#NV	#NV	#NV	26
10D211	11.05.2010	JW	a(n)	1			454	83	11.75				22.6			90	4	34		13.56		160			10x10	Asahi-U	2																																					417.02	55.54				14.2							#NV	#NV	#NV	#NV	#NV	26
10D212	11.05.2010	JW	CO2	1								150				120	6	180		13.56					Dummy	Übrig																																										155.2								#NV	#NV	#NV	#NV	#NV	26
																																																																												#NV	#NV	#NV	#NV	#NV	#NV
10D213	11.05.2010	JW	µc(i)-seed	1			3000	8.6	0.15							180	12.5	400		13.56		180			10x10	ZnO	1					9.00E-07																							49.85									3088.11	4.65						1 zus corning					#NV	15	40	#NV	5	26
10D214	11.05.2010	JW	µc(i)	1			3000	50	0.87							600	12.5	555		13.56		180			10x10	ZnO	1					9.00E-07	420	7	2.38	92.22																												3088.11	27.01						MFC nochmals getestet, stimmen mit der letzten Messung überein					185	#NV	#NV	#NV	#NV	26
																																																																												#NV	#NV	#NV	#NV	#NV	#NV
10D215	12.05.2010	JW	µc(p)	1			3000	8.6	0.15	0.8						180	12.5	400		13.56		180																																										3088.11	4.65	1.01										#NV	#NV	#NV	#NV	#NV	26
																																																																												#NV	#NV	#NV	#NV	#NV	#NV
10D216	12.05.2010	JW	CO2	1								200				120	6	180		13.56					Dummy	Übrig																																										206.93								#NV	#NV	#NV	#NV	#NV	26
																																																																												#NV	#NV	#NV	#NV	#NV	#NV
10D217	12.05.2010	JW	a(i)	1			377	61.3	10.87							1720	4	33		13.56		180											278.33	1.62	5.45	13.91																												339.59	41.41											189	#NV	#NV	#NV	6	26
																																																																												#NV	#NV	#NV	#NV	#NV	#NV
10D218	12.05.2010	JW	µc(p)	1			3000	8.6	0.15	0.8						180	12.5	400		13.56		180											20.33	1.13	21.95	86.52																												3088.11	4.65	1.01										193	#NV	#NV	#NV	7	26
																																																																												#NV	#NV	#NV	#NV	#NV	#NV
10D219	12.05.2010	JW	µc(p)	1			2925	8.7	0.16	0.82						180	12.5	400		13.56		180																																										3010.98	4.7	1.04										#NV	#NV	#NV	#NV	#NV	26
																																																																							MFCs für H2 und SiH4 bei FAP neu kalibriert					#NV	#NV	#NV	#NV	#NV	#NV
10D220	31.05.2010	TZ, TM	a(p)	1			278	41	8.52	6.1	28					50	4	27		13.56		180			10x10	Asahi-U	3	1.95	817	126		9.00E-07						8.36	69	889	13.64	7.4	72.2	4.37	70.4	2.87	6.62E-09	1.66	Ag-1	30' 160°C														276.42	25.74	7.7	23.95			1,5,9	analog zu zu den Flüssen von 10D161					#NV	#NV	#NV	#NV	#NV	38
10D221	31.05.2010	TZ, TM	a(i)	1			1056	69	3.9							205	4	33		13.56		180			10x10	Asahi-U	3					9.00E-07	333.33	16.26	2.26	135.96		8.54	71.7	891	13.37	5.8	73.4	4.45	71.1	2.73	2.01E-09	1.56	Ag-5	30' 160°C														1049.98	42.56						Probleme beim Zünden des Buffers. Leistung auf 0 und nochmal gezündet.					205	#NV	#NV	#NV	#NV	38
10D221	31.05.2010	TZ, TM	a(i)	1			329	69	11.51							1620	4	33		13.56		180		262	10x10	Asahi-U	3	1.95	811	127			333.33	2.06	2.26	17.21		8.52	71.2	889	13.46	6.2	73.3	4.49	70.7	2.76	2.03E-09	1.55	Ag-9	30' 160°C														327.12	42.56											205	#NV	#NV	#NV	#NV	38
10D222	31.05.2010	TZ, TM	a(n)	1			582	93	9.02				22.7			85	4	34		13.56		180			10x10	Asahi-U	3	2.44	792	129																																		578.68	57.36				14.26		Probleme beim Zünden der n-Schicht. Leistung auf 0 und nochmal gezündet.					#NV	#NV	#NV	#NV	#NV	38
10D223	31.05.2010	TZ, TM	CO2	1								200				120	6	180		13.56					Dummy	Übrig																																										206.93								#NV	#NV	#NV	#NV	#NV	38
																																																																												#NV	#NV	#NV	#NV	#NV	#NV
10D224	31.05.2010	TZ, JW	µc(p)	1			3000	8	0.17	0.8						180	12.5	400		13.56		180							761	130		9.00E-07	20	1.11	0	78.72																			68.95									2989.85	5.02	1.01					Silan MFC gibt 8 statt 8,6 sccm (im Rezept 8,6)					209	#NV	44	#NV	#NV	38
																																																																												#NV	#NV	#NV	#NV	#NV	#NV
10D225	31.05.2010	JW, TM	a(p)	1			278	41	8.52	6.1	28					2400	4	27		13.56		180		263					819	127		9.00E-07	410	1.71	2.44	23.62																												276.42	25.74	7.7	23.95									213	#NV	#NV	#NV	#NV	38
																																																																												#NV	#NV	#NV	#NV	#NV	#NV
10D226	01.06.2010	TZ	a(p)	1			278	41	8.52	6.1	28					50	4	27		13.56		180			10x10	Asahi-U	3	1.95	813	126		9.00E-07	9	1.8		24.88		9.16	73.9	889	13.94	6	75.5	4.37	75.8	3.03	8.18E-10	1.48	Ag-1	30' 160°C														276.42	25.74	7.7	23.95			1,5,9	Wdh von 10D220, mit CO2 Plasma					#NV	#NV	#NV	#NV	#NV	38
10D227	01.06.2010	TZ	CO2	1								200				120	6	180		13.56					Dummy	Übrig		1.95	854	123								9.22	73.9	890	14.02	5.4	75.5	4.64	76.3	2.88	6.62E-10	1.47	Ag-5	30' 160°C																		206.93								#NV	#NV	#NV	#NV	#NV	38
10D228	01.06.2010	TZ	a(i)	1			1056	69	3.9							205	4	33		13.56		180			10x10	Asahi-U	3					9.00E-07	23.58	1.15	5.11	9.62		9.88	73.8	891	15.03	5.4	75.4	5.49	76.1	2.91	8.59E-10	1.47	ZnOAg-9	30' 160°C														1049.98	42.56											217	#NV	#NV	#NV	#NV	38
10D228	01.06.2010	TZ	a(i)	1			329	69	11.51							1620	4	33		13.56		180		263	10x10	Asahi-U	3	1.95	811	127			288.88	1.78	5.11	14.91																												327.12	42.56											217	#NV	#NV	#NV	#NV	38
10D229	01.06.2010	TZ	a(n)	1			582	93	9.02				22.7			85	4	34		13.56		180			10x10	Asahi-U	3	1.95	785	129			15.22	1.79		11.1																												578.68	57.36				14.26							#NV	#NV	#NV	#NV	#NV	38
10D230	01.06.2010	TZ	CO2	1								200				120	6	180		13.56					Dummy	Übrig																																										206.93								#NV	#NV	#NV	#NV	#NV	38
																																	336.67																																											#NV	#NV	#NV	#NV	#NV	#NV
10D231	01.06.2010	JW, TM	µc(p)	1			3000	8	0.17	0.8						180	12.5	400		13.56		180			10x10	ZnO	2		755	131		9.00E-07	19.8	1.1		77.93		5.91	70.5	483	17.33	3	72.1	8.64	70.7	2.61	3.14E-06	1.19	Ag-1	30' 160°C						66.2								2989.85	5.02	1.01				1,5	Silan MFC gibt 8 statt 8,6 sccm (im Rezept 8,6)					#NV	#NV	48	#NV	#NV	38
10D232	01.06.2010	JW, TM	CO2	1								200				120	6	180		13.56					Dummy	Übrig			849	124								7.39	67.7	491	22.23	3.1	69	13.34	68.5	2.56	1.48E-05	1.37	ZnOAg-5	30' 160°C																		206.93								#NV	#NV	#NV	#NV	#NV	38
10D233	01.06.2010	JW, TM	µc(i)	1			3000	50	1.02							2580	12.5	555		13.56		180		240	10x10	ZnO	2		755	130		9.00E-07	1322.49	5.13	3.13	59.15																												2989.85	30.84						Analog zu den Flüssen von 10D038, n-Schicht bereits angepasst					221	#NV	#NV	#NV	#NV	38
10D234	01.06.2010	JW, TM	a(n)	1			582	93	9.02				22.7			85	4	34		13.56		180			10x10	ZnO	2		792	129			15.22	1.79		11.1																												578.68	57.36				14.26							#NV	#NV	#NV	#NV	#NV	38
10D235	01.06.2010	JW, TM	CO2	1								200				120	6	180		13.56					Dummy	Übrig																																										206.93			2. CO2 Plasma manuell nach dem Prozess					#NV	#NV	#NV	#NV	#NV	38
																																	1357.5																																											#NV	#NV	#NV	#NV	#NV	#NV
10D236	07.06.2010	TZ	a(p)	1			250	41	9.38	6	30					50	4	27		13.56		180			10x10	Asahi-U	4		812	127		9.00E-07	9	1.8		24.88		8.49	69.9	892	13.63	8.3	72.8	4.11	74.2	2.98	9.90E-10	1.5	Ag-1	30' 160°C														248.58	25.74	7.58	25.58			1,4,6,9	Analog zu 10D140, auch alte dotierte Schichten übertragen					#NV	#NV	#NV	#NV	#NV	38
10D237	07.06.2010	TZ	CO2	1								200				120	6	180		13.56					Dummy	Übrig			849	124								8.77	70.6	892	13.93	7.8	73	4.26	73.6	3.05	1.60E-09	1.52	Ag-4	30' 160°C																		206.93			Substrate standen über das Wochenende bei 60°C in der Ladekammer					#NV	#NV	#NV	#NV	#NV	38
10D238	07.06.2010	TZ	a(i)	2	0	0	665	320	22.99							650	1	50 / 64		60		180		290	10x10	Asahi-U	4		506 / 481	168 / 212		9.00E-07	307.54	4.73	5.22	8.53		8.4	70.3	892	13.4	7.8	73.5	3.97	74.3	2.96	6.50E-10	1.47	Ag-6	30' 160°C														661.21	197.38											225	#NV	#NV	#NV	#NV	38
10D239	07.06.2010	TZ	a(n)	1			640	98	8.68				23			85	4	34		13.56		180			10x10	Asahi-U	4		806	128		9.00E-07	15.22	1.79		10.54		8.47	70.8	891	13.43	7.4	73.8	4	74.9	2.96	6.90E-10	1.47	Ag-9	30' 160°C														636.35	60.45				14.45							#NV	#NV	#NV	#NV	#NV	38
10D240	07.06.2010	TZ	CO2	1								200				120	6	180		13.56					Dummy	Übrig			847	124																																						206.93								#NV	#NV	#NV	#NV	#NV	38
																																	331.75																																											#NV	#NV	#NV	#NV	#NV	#NV
10D241	07.06.2010	TZ, JW, TM	µc(p)	1			3000	8.6	0.18	0.8						180	12.5	400		13.56		180			10x10	ZnO	2		758	131		9.00E-07	19.8	1.1		72.5		6.49	70	502	18.46	2.8	71	9.75	70	2.57	6.52E-06	1.33	Ag-1	30' 160°C						63								2989.85	5.4	1.01				1,5						#NV	#NV	52	#NV	#NV	38
10D242	07.06.2010	TZ, JW, TM	CO2	1								200				120	6	180		13.56					Dummy	Übrig			849	124								6.59	69.8	500	18.88	2.6	71.1	10.34	69.5	2.53	4.79E-06	1.29	Ag-5	30' 160°C																		206.93								#NV	#NV	#NV	#NV	#NV	38
10D243	07.06.2010	TZ, JW, TM	µc(i)	1			3000	52	1.06							2580	12.5	555		13.56		180		241	10x10	ZnO	2		756	130		9.00E-07	1369.99	5.31	3.2	58.92																												2989.85	32.07											229	#NV	#NV	#NV	#NV	38
10D244	07.06.2010	TZ, JW, TM	a(n)	1			582	93	9.02				22.7			85	4	34		13.56		180			10x10	ZnO	2		792	128			15.22	1.79		11.1																												578.68	57.36				14.26							#NV	#NV	#NV	#NV	#NV	38
10D245	07.06.2010	TZ, JW, TM	CO2	1								200				120	6	180		13.56					Dummy	Übrig																																										206.93								#NV	#NV	#NV	#NV	#NV	38
																																	1405																																											#NV	#NV	#NV	#NV	#NV	#NV
10D246	08.06.2010	TZ, AF	a(p)	1			278	41	8.52	6.1	28					50	4	27		13.56		180			10x10	Asahi-U	4		814	127		9.00E-07	9	1.8		24.88		8.55	71.8	889	13.4	7.2	73.6	3.91	73.7	2.99	1.00E-09	1.5	Ag-4	30' 160°C														276.42	25.74	7.7	23.95			4,6,9	Analog zu 10D236, aber mit neuen dotierten Schichten					#NV	#NV	#NV	#NV	#NV	38
10D247	08.06.2010	TZ, AF	CO2	1								200				120	6	180		13.56					Dummy	Übrig			854	122								8.38	72.6	889	12.97	6.5	74.5	3.67	74.9	2.93	6.80E-10	1.47	Ag-6	30' 160°C																		206.93								#NV	#NV	#NV	#NV	#NV	38
10D248	08.06.2010	TZ, AF	a(i)	2	0	0	665	320	22.99							650	1	50 / 64		60		180		291	10x10	Asahi-U	4		528 / 471	147 / 223		9.00E-07	309.04	4.75	3.59	8.57		8.34	72.2	889	13	6.5	74.4	3.66	75.1	2.93	7.00E-10	1.47	Ag-9	30' 160°C														661.21	197.38											233	#NV	#NV	#NV	#NV	38
10D249	08.06.2010	TZ, AF	a(n)	1			582	93	9.02				22.7			85	4	34		13.56		180			10x10	Asahi-U	4		790	129		9.00E-07	15.22	1.79		11.1																												578.68	57.36				14.26							#NV	#NV	#NV	#NV	#NV	38
10D250	08.06.2010	TZ, AF	CO2	1								200				120	6	180		13.56					Dummy	Übrig																																										206.93								#NV	#NV	#NV	#NV	#NV	38
																																	333.25																																											#NV	#NV	#NV	#NV	#NV	#NV
10D251	08.06.2010	JW, TM	a(p)	1			278	41	8.52	6.1	28					50	4	27		13.56		180			10x10	Asahi-U	2		817	127		9.00E-07	9	1.8		24.88		8.85	71.9	894	13.78	7.2	74.6	4.31	74.1	2.94	2.40E-09	1.55	Ag-1	30' 160°C														276.42	25.74	7.7	23.95			1,5						#NV	#NV	#NV	#NV	#NV	38
10D252	08.06.2010	JW, TM	a(i)	1			1056	69	3.9							205	4	33		13.56		180			10x10	Asahi-U	2					9.00E-07	23.58	1.15	5.19	9.62		9.93	71.9	895	15.41	6.5	74.7	5.79	74.8	2.93	1.60E-09	1.52	ZnO/Ag-5	30' 160°C														1049.98	42.56											245	#NV	#NV	#NV	#NV	38
10D252	08.06.2010	JW, TM	a(i)	1			329	69	11.51							1620	4	33		13.56		180		260	10x10	Asahi-U	2		811	127			289.71	1.79	5.19	14.95																												327.12	42.56											245	#NV	#NV	#NV	#NV	38
10D253	08.06.2010	JW, TM	a(n)	1			582	93	9.02				22.7			85	4	34		13.56		180			10x10	Asahi-U	2		804	128			15.22	1.79		11.1																												578.68	57.36				14.26							#NV	#NV	#NV	#NV	#NV	38
10D254	08.06.2010	JW, TM	CO2	1								200				120	6	180		13.56					Dummy	Übrig			845	126																																						206.93								#NV	#NV	#NV	#NV	#NV	38
																																	337.5																																											#NV	#NV	#NV	#NV	#NV	#NV
10D255	08.06.2010	JW, TM	a(i)	1			329	69	11.51							1720	4	33		13.56		180		264	10x10	Corning	6		808	128		9.00E-07	354.32	2.06		17.22																												327.12	42.56						5 Corning für Thorsten Bronger					#NV	#NV	#NV	#NV	#NV	38
																																																																												#NV	#NV	#NV	#NV	#NV	#NV
10D256	09.06.2010	TZ	a(p)	1			250	41	9.38	6	30					50	4	27		13.56		180			10x10	Asahi-U	4		814	126		9.00E-07	9	1.8		24.88		8.5	69.6	891	13.71	8.5	72.1	4.1	73.1	2.99	2.80E-09	1.58	Ag-1	30' 160°C														248.58	25.74	7.58	25.58			1,4,6,9						#NV	#NV	#NV	#NV	#NV	38
10D257	09.06.2010	TZ	CO2	1								200				120	6	180		13.56					Dummy	Übrig			854	122								8.69	70.9	889	13.79	7.3	73	4.13	74	3	2.00E-09	1.55	Ag-4	30' 160°C																		206.93								#NV	#NV	#NV	#NV	#NV	38
10D258	09.06.2010	TZ	a(i)	2	0	0	630	375	26.97							580	1	50 / 64		60		180			10x10	Asahi-U	4		514 / 459	164 / 244		9.00E-07	309.04	5.33	8.17	8.2		8.35	71.2	885	13.25	6.7	73.7	3.81	74.5	2.97	1.10E-09	1.5	Ag-6	30' 160°C														626.41	231.3											237	#NV	#NV	#NV	#NV	38
10D259	09.06.2010	TZ	a(n)	1			640	98	8.68				23			85	4	34		13.56		180			10x10	Asahi-U	4		808	127		9.00E-07	15.22	1.79		10.54		8.45	72.2	885	13.23	6.8	74.1	3.64	75.1	3.03	7.70E-10	1.47	Ag-9	30' 160°C														636.35	60.45				14.45							#NV	#NV	#NV	#NV	#NV	38
10D260	09.06.2010	TZ	CO2	1								200				120	6	180		13.56					Dummy	Übrig			846	126																																						206.93								#NV	#NV	#NV	#NV	#NV	38
																																	333																																											#NV	#NV	#NV	#NV	#NV	#NV
10D261	09.06.2010	TM, TZ	µc(p)	1			3000	8.6	0.18	0.8						180	12.5	400		13.56		180			10x10	ZnO	2		759	130		9.00E-07	19.8	1.1		72.5																												2989.85	5.4	1.01										#NV	#NV	56	#NV	#NV	38
10D262	09.06.2010	TM, TZ	CO2	1								200				120	6	180		13.56					Dummy	Übrig			850	124																																						206.93								#NV	#NV	#NV	#NV	#NV	38
10D263	09.06.2010	TM, TZ	µc(i)	1			3000	54	1.1							2450	12.5	555		13.56		180		240	10x10	ZnO	2		755	130		9.00E-07	1354	5.53	3.4	59.05		6.16	70.1	511	17.19	3.4	70.9	8.08	70	2.78	1.97E-05	1.48	Ag-1	30' 160°C														2989.85	33.31					1,5						249	#NV	#NV	#NV	#NV	38
10D264	09.06.2010	TM, TZ	a(n)	1			582	93	9.02				22.7			85	4	34		13.56		180			10x10	ZnO	2		804	128			15.22	1.79		11.1		7.72	67.1	510	22.57	3.4	69	13.3	68.7	2.66	3.81E-05	1.56	ZnO/Ag-5	30' 160°C														578.68	57.36				14.26							#NV	#NV	#NV	#NV	#NV	38
10D265	09.06.2010	TM, TZ	CO2	1								200				120	6	180		13.56					Dummy	Übrig			845	125																																						206.93								#NV	#NV	#NV	#NV	#NV	38
												Gesamtdepozeit PC1 (2010) in Std:				31.36944444	Dicke:	33.87175037	µm				Gesamt Depozeit PC2 (2010) in Std:				3.86712963	Dicke:	6.60942	µm																																									PC1 geöffnet, Kammer und Schieber zur Ladekammer hin gereinigt					#NV	#NV	#NV	#NV	#NV	#NV
10D266	15.06.2010	TZ, AF	a(i)	1			329	69	11.51							2700	4	33		13.56		180		271	10x10	Übrig	9		808	128		2.20E-06	~500	~1,8																														327.12	42.56						"9 Dummygläser. Belegschicht auf Substratcarrier. Prozessvordruck dauert sehr lange; nach 11 Min(2,2E-6) angefangen."					#NV	#NV	#NV	#NV	#NV	38
																																																																												#NV	#NV	#NV	#NV	#NV	#NV
10D267	16.06.2010	DW, TZ	a(p)	1			278	41	8.52	6.1	28					50	4	27		13.56		180			10x10	Asahi-U	4		825	126		9.00E-07	9	1.8		24.88		9.06	73.1	889	13.94	5.7	74.4	4.14	75.8	3.12	1.19E-09	1.51	Ag-1	30' 160°C														276.42	25.74	7.7	23.95			1,5,9	Wdh von 10D226					#NV	#NV	#NV	#NV	#NV	38
10D268	16.06.2010	DW, TZ	CO2	1								200				120	6	180		13.56					Dummy	Übrig			851	124								10.16	73	897	15.51	6	74.3	5.78	74.5	3	1.66E-09	1.73	ZnO/Ag-5	30' 160°C																		206.93			1 Substrat für Katharina Baumgartner (Position 6)					#NV	#NV	#NV	#NV	#NV	38
10D269	16.06.2010	DW, TZ	a(i)	1			1056	69	3.9							205	4	33		13.56		180			10x10	Asahi-U	4					9.00E-07	23.58	1.15	2.27	9.62		10.1	72.7	893	15.54	5.8	74.1	5.78	75.7	2.99	3.61E-09	1.59	ZnO/Ag-9	30' 160°C														1049.98	42.56						relativ lange Zeit vor i-Schicht, bis Basisdruck erreicht wurde					253	#NV	#NV	#NV	#NV	38
10D269	16.06.2010	DW, TZ	a(i)	1			329	69	11.51							1620	4	33		13.56		180		270	10x10	Asahi-U	4		811	128			303.54	1.87	2.27	15.67																												327.12	42.56											253	#NV	#NV	#NV	#NV	38
10D270	16.06.2010	DW, TZ	a(n)	1			582	93	9.02				22.7			85	4	34		13.56		180			10x10	Asahi-U	4		771	131			15.22	1.79		11.1																												578.68	57.36				14.26							#NV	#NV	#NV	#NV	#NV	38
10D271	16.06.2010	DW, TZ	CO2	1								200				120	6	180		13.56					Dummy	Übrig			844	126																																						206.93								#NV	#NV	#NV	#NV	#NV	38
																																	351.33																																											#NV	#NV	#NV	#NV	#NV	#NV
10D272	16.06.2010	DW, TZ	a(p)	1			289	41.8	8.37	6.3	29					50	4	27		13.56		180			10x10	Asahi-U	3		813	128		9.00E-07	9	1.8		24.41		8.92	72.4	887	13.88	6	74.4	4.2	75.8	3.03	1.27E-09	1.53	Ag-1	30' 160°C														287.35	26.25	7.96	24.77			1,5,9	leicht angepasste Flüsse (versucht exakte Werte aus 2009 zu reproduzieren)					#NV	#NV	#NV	#NV	#NV	38
10D273	16.06.2010	DW, TZ	CO2	1								200				120	6	180		13.56					Dummy	Übrig			849	124								10.18	73.4	895	15.5	5.6	75	5.77	76	3.03	7.19E-10	1.47	ZnO/Ag-5	30' 160°C																		206.93								#NV	#NV	#NV	#NV	#NV	38
10D274	16.06.2010	DW, TZ	a(i)	1			1052	67	3.8							205	4	33		13.56		180			10x10	Asahi-U	3					9.00E-07	23.58	1.15	2.61	9.9		10.11	73.7	891	15.4	5.3	74.8	5.68	76.2	3.01	9.06E-10	1.47	ZnO/Ag-9	30' 160°C														1046	41.33											257	#NV	#NV	#NV	#NV	38
