Nr.	Datum	Operator	Schicht	Kammer	vSubstr LQ	Pendel#	H2	SiH4	SC	TMB	CH4	CO2	PH3	Gas?	Gasfluss	t	p	P	Pump nach	f	del	Ts	Th	Th depo	Subst	Subst	Anzahl	Pr	CL	CT	UDC	Basis p	d	R	?d/d¯	Deplet	R dyn	h	FF	Voc	jsc	Rs	FF rot	jsc rot	FF blau	jsc blau	j0	n	Reflekt	Anneal	sd nT	sd vT/oT	sph	Photosens	Krist (%)	Krist (%)	Sims [O]	Sims [C]	Sims [N]	Sims [B]	Sims [?]	PDS E04	PDS a 1,2	H2	SiH4	TMB	CH4	CO2	PH3		Bemerkung			
					(m/s)	LQ	(sccm)	(sccm)	(%)	(sccm)	(sccm)	(sccm)	(sccm)		(sccm)	(s)	(mbar)	(W)	Schicht (s)	(Hz)	(mm)	(°C)	(°C)	(°C)	Größe	Material	Gläser	(W)			(V)	(mbar)	(nm)	(Å/s)	(%)	(%)	(nm·m/min)	(%)	(%)	(mV)	(mA/cm²)	(W)	(%)	(mA/cm²)	(%)	(mA/cm²)	(mA/cm²)	(-)			(S/cm)	(S/cm)	(S/cm)	(-)	488 nm	647 nm	(cm-3)	(cm-3)	(cm-3)	(cm-3)	(cm-3)	(eV)	eV (cm-1)	Cal sccm	Cal sccm	Cal sccm	Cal sccm	Cal sccm	Cal sccm				Größe	Material
																																																			(nach Tempern)	(vor Tempern)	Hell																				10x10	Corning
09D286	11.12.2009	AF, TZ	a(p)	1			285	47	8.21	6	30					50	4	27		13.56		180			10x10	Asahi-U	5					9.00E-07	9	1.8		25.16341761		9.23	73.2	866	14.55	4.9	74.5	4.45	76.3	3.16	1.70E-09	1.47	Ag-1	30'160°C														284.43	25.456375	7.716937582	23.764896			1,4,5,6,9	"Referenzzelle in der PC1; single p, single i (ohne Grading)"			
09D287	11.12.2009	AF, TZ	CO2	1								200				120	6	400		13.56		kalt																9.33	73.7	867	14.6	4.8	74.3	4.49	75.3	3.15	5.28E-08	1.78	Ag-4	30'160°C																		200						
09D288	11.12.2009	AF, TZ	a(i)	1			340	68	10.87							1520	4	33		13.56		180			10x10	Asahi-U	5					9.00E-07	290.79	1.91	0.949367089	16.44821583		9.22	73.6	866	14.46	5	74.5	4.47	76.1	3.13	1.03E-09	1.43	Ag-6	30'160°C														339.32	41.39075									
09D289	11.12.2009	AF, TZ	a(n)	1			547	91	9.17							85	4	34		13.56		180			10x10	Asahi-U	5						15.22	1.79		11.50034676		9.08	73	860	14.47	5.7	74	4.46	76.3	3.14	1.70E-08	1.66	Ag-9	30'160°C														548.9692	55.3905625									
09D290	11.12.2009	AF, TZ	CO2	1								200				120	6	400		13.56		kalt																9.32	73.5	869	14.59	5	75	4.59	76.1	3.12	3.23E-09	1.53	Ag-5	30'160°C																		200						
																																	315					10.06	73.6	875	15.62	5.1	74.8	5.51	75.7	3.1	1.56E-09	1.47	ZnO/Ag-5	30'160°C																								
09D291	14.12.2009	JW, TM	a(p)	1			285	47	8.21	6	30					50	4	27		13.56		180		270	40x40	Asahi-U	1					9.00E-07	9	1.8		25.16341761																												284.43	25.456375	7.716937582	23.764896				1. Modul (a-Si:H)			
09D292	14.12.2009		a(i)	1			1026	68	3.86							205	4	33		13.56		180			40x40	Asahi-U	1					9.00E-07	23.58	1.15		9.887539342																												1029.6936	41.39075									
09D292	14.12.2009	JW, TM	a(i)	1			340	68	10.87							1520	4	33		13.56		180			40x40	Asahi-U	1																																					339.32	41.39075									
09D293	14.12.2009	JW, TM	a(n)	1			547	91	9.17				23			85	4	34		13.56		180			40x40	Asahi-U	1						15.22	1.79		11.50034676																												548.9692	55.3905625				14.1832534					
09D294	14.12.2009	JW, TM	CO2	1								200				120	6	400		13.56		kalt			Dummy	Übrig																																										200						
																																																																										
09D295	14.12.2009	JW, TM	µc(p)	1			3000	8.6	0.15	0.8						180	12.5	400		13.56		180			10x10	ZnO	4					9.00E-07	20.88	1.16		88.62464653		5.95	64.7	455	20.11	3.2	64.5	10.02	67.4	3.14	7.82E-05	1.44	Ag-1	30'160°C						70.13333333								3010.8	4.657975	1.028925011				1,5,6,9	µc-Si:H Zelle			
09D296	14.12.2009	JW, TM	CO2	1								200				200	6	400		13.56		kalt			Dummy	Übrig												6.25	65.6	460	20.7	2.5	65.7	10.49	66.4	3.14		1.5	Ag-6	30'160°C																		200			mehr SiH4, kürzer deponiert			
09D297	14.12.2009	JW, TM	µc(i)	1			3000	58	1.16							1800	12.5	800		13.56		180			10x10	ZnO	4					9.00E-07	1423.91	7.91	0.684931507	79.74065768		6.78	63.1	455	23.59	3	63.1	12.83	66.8	3.23	7.97E-05	1.45	ZnO/Ag-5	30'160°C														3010.8	35.303875						soll mehr Voc haben, als die vorherige µc-Si:H Zelle			
09D298	14.12.2009	JW, TM	a(n)	1			547	91	9.17				23			85	4	34		13.56		180			10x10	ZnO	4						15.22	1.79		11.50034676		7.02	65.9	476	22.38	2.8	65.5	12.2	68	3.03	4.24E-05	1.43	ZnO/Ag-9	30'160°C														548.9692	55.3905625				14.1832534					
09D299	14.12.2009	JW, TM	CO2	1								200				200	6	400		13.56		kalt			Dummy	Übrig																																										200						
																																	1460																																									
09D300	15.12.2009	JW, TM	a(p)	1			285	47	8.21	6	30					48	4	27		13.56		180			10x10	Asahi-U	3					9.00E-07	8.64	1.8	5.015673981	25.16341761		6.62	66.1	902	11.1	6.6	68	4.26	62.9	2.05	4.06E-09	1.65	Ag-1	30'160°C														284.43	25.456375	7.716937582	23.764896			1,5,9	keine Plasmaunterbrechung			
09D300	15.12.2009	JW, TM	a(i)	1			1026	68	3.86							205	4	33		13.56		180			10x10	Asahi-U	3					9.00E-07	23.58	1.15	5.015673981	9.887539342		7.72	67.2	908	12.66	6.1	69.1	5.36	64.2	2.12	5.12E-09	1.66	ZnO/Ag-5	30'160°C														1029.6936	41.39075									
09D300	15.12.2009	JW, TM	a(i)	1			340	68	10.87							1520	4	33		13.56		180			10x10	Asahi-U	3						272.68	1.79	5.015673981	15.42382603		7.62	65.7	907	12.8	6.7	68.4	5.22	62.6	2.25	6.88E-09	1.7	ZnO/Ag-9	30'160°C														339.32	41.39075									
09D300	15.12.2009	JW, TM	a(n)	1			547	91	9.17				23			90	4	34		13.56		180			10x10	Asahi-U	3						16.11	1.79	5.015673981	11.50034676																												548.9692	55.3905625				14.1832534					
09D301	15.12.2009	JW, TM	CO2	1								200				120	6	400		13.56		kalt			Dummy	Übrig																																										200						
																																	321																																									
09D302	15.12.2009	TM, TZ, JW	a(p)	1			285	47	8.21	6	30					50	4	27		13.56		180			10x10	Asahi-U	3					9.00E-07	9	1.8		25.16341761		9.19	72.5	891	14.23	5.4	72.7	4.33	73.6	3.08	6.21E-09	1.46	Ag-1	30'160°C														284.43	25.456375	7.716937582	23.764896			1,5,6,9	Wiederholung von 09D161 			
09D303	15.12.2009	TM, TZ, JW	CO2	1								200				120	6	400		13.56		kalt			Dummy	Übrig												10.24	73.7	898	15.48	5.2	75.2	5.59	76.3	3.03	8.46E-10	1.48	ZnO/Ag-6	30'160°C																		200			p-Schicht ohne grading  			
09D304	15.12.2009		a(i)	1			1026	68	3.86							205	4	33		13.56		180			10x10	Asahi-U	3					9.00E-07	23.58	1.15	3.703703704	9.887539342		10.29	73.3	897	15.66	5.3	74.8	5.7	75.9	3.03	9.06E-10	1.49	ZnO/Ag-5	30'160°C														1029.6936	41.39075						2 min CO2 plasma nach dem p-Schicht			
09D304	15.12.2009	TM, TZ, JW	a(i)	1			340	68	10.87							1520	4	33		13.56		180			10x10	Asahi-U	3						285.96	1.88	3.703703704	16.17529033		10.28	73.4	898	15.6	5.3	75	5.59	76.4	3.06	8.44E-10	1.48	ZnO/Ag-9	30'160°C														339.32	41.39075						position-1,6 very inhomogenious			
09D305	15.12.2009	TM, TZ, JW	a(n)	1			547	91	9.17				23			85	4	34		13.56		180			10x10	Asahi-U	3						15.22	1.79		11.50034676																												548.9692	55.3905625				14.1832534					
09D306	15.12.2009	TM, TZ, JW	CO2	1								200				120	6	400		13.56		kalt			Dummy	Übrig																																										200						
																																	333.75																																									
09D307	22.12.2009	AF	a(p)	1			285	47	8.21	6	30					50	4	27		13.56		180			10x10	Asahi-U	4						9	1.8		25.16341761		6.29	54.8	821	13.99	13	58.4	4.21	68.6	3.08	2.38E-10	1.3	Ag-1	30'160°C							1.00E+19	4.00E+18	6.00E+17					284.43	25.456375	7.716937582	23.764896			1,4,6,9	a-Si Zelle LQ 1 mbar. -1, -4, -6, -9 Asahi-U. Andere Stellen Dummygläser.			
09D308	22.12.2009	AF	CO2	1								200				120	6	400		13.56		kalt			Dummy	Übrig												7.69	65.3	851	13.84	7.6	67.4	4.15	74.4	3.01	1.93E-10	1.33	Ag-4	30'160°C																		200						
09D309	22.12.2009	AF	a(i)	2			680	136	10.82							1300	1	42 / 63		60		180			10x10	Asahi-U	4						421.54	3.24	4.017857143	13.93961169		7.84	66.3	853	13.84	6.5	67.3	4.16	74.6	3.04	2.74E-10	1.36	Ag-6	30'160°C														682.448	82.7815									
09D310	22.12.2009	AF	a(n)	1			547	91	9.17				23			85	4	34		13.56		180			10x10	Asahi-U	4						15.22	1.79		11.50034676		7.65	66.8	856	13.37	6.9	67.7	3.66	75	3.05	2.34E-10	1.35	Ag-9	30'160°C														548.9692	55.3905625				14.1832534					
09D311	22.12.2009	AF	CO2	1								200				120	6	400		13.56		kalt			Dummy	Übrig																																										200			Aus versehen 20 Min in LC auf 250°C während abkühlen mit N2. Bei 135°C geöffnet.			
																																	445.75																																									
09D312	23.12.2009	AF	a(p)	1			285	47	8.21	6	30					50	4	27		13.56		180			10x10	Asahi-U	5						9	1.8		25.16341761		0.85	19.6	849	5.09	>1000	21.2	2.3	32.9	1.92			Ag-5	30'160°C							2.00E+19	2.00E+18	9.00E+17					284.43	25.456375	7.716937582	23.764896			1,4,5,6,9	Asahi-U auf -1, -4, -5, -6, -9. Rest Dummy-Gläser			
09D313	23.12.2009	AF	CO2	1								200				120	6	400		13.56		kalt			Dummy	Übrig												0.57	18.1	857	3.69	>1000							Ag-9	30'160°C																		200						
09D314	23.12.2009	AF	a(i)	2	0.02	66	680	136	10.82							3300	1	42 / 63		60		180			10x10	Asahi-U	5						450.79	1.37	2.315789474	5.872403719	3.28																											682.448	82.7815						"Slave hat nicht sofort gezündet. Noch Fehler im Program mit Matching; jetzt behoben."			
09D315	23.12.2009	AF	a(n)	1			547	91	9.17				23			85	4	34		13.56		180			10x10	Asahi-U	5						15.22	1.79		11.50034676																												548.9692	55.3905625				14.1832534					
09D316	23.12.2009	AF	CO2	1								200				120	6	400		13.56		kalt			Dummy	Übrig																																										200			Nächstes Mal auch vor Tempern vermessen.			

