Nr.	Datum	Operator	Schicht	Kammer	vSubstr LQ	Pendel#	H2	SiH4	SC	TMB	CH4	CO2	PH3	Gas?	Gasfluss	t	p	P	Pump nach	f	del	Ts	Th	Th depo	Subst	Subst	Anzahl	Pr	CL	CT	UDC	Basis p	d	R	?d/d¯	Deplet	R dyn	h	FF	Voc	jsc	Rs	FF rot	jsc rot	FF blau	jsc blau	j0	n	Reflekt	Anneal	sd nT	sd vT/oT	sph	Photosens	Krist (%)	Krist (%)	Sims [O]	Sims [C]	Sims [N]	Sims [B]	Sims [?]	PDS E04	PDS a 1,2	H2	SiH4	TMB	CH4	CO2	PH3		Bemerkung					Hilfe-Spalten					
11D0007	19.01.2011	TZ	a(i)	1			329	80	12.4							1675	4	33		13.56		180		268	10x10	Asahi-U	3					9.00E-07	330.12	1.97	0.85	14.31		9.76	74.1	865	15.23	4.5	75.4	5.7	75	2.9	7.54E-10	1.41	ZnO/Ag-6	30' 160°C														346.39	49.03											14	#NV	#NV	#NV	#NV	2
11D0008	19.01.2011	TZ	a(n)	1			582	93	8.77				22.7			85	4	34		13.56		180			10x10	Asahi-U	3						15.22	1.79		11.18																												593.16	57				14.13							#NV	#NV	#NV	#NV	#NV	2
11D0009	19.01.2011	TZ	CO2	1								200				120	6	180		13.56					Dummy	Übrig																																										209.21								#NV	#NV	#NV	#NV	#NV	2
																																	354.33																																											#NV	#NV	#NV	#NV	#NV	#NV
11D0010	20.01.2011	TM	a(p)	1			278	41	7.93	6.1	28					75	4	27		13.56		180			10x10	Asahi-U	4					9.00E-07						10.3	69.6	1299	11.4	13.8							ZnO/Ag-1	30' 160°C														296.54	25.53	7.7	22.92			1,6,7,9	rpt of 10D1473 without CO2 plasmas, short pumping, no temperature stabillization					#NV	#NV	#NV	#NV	#NV	2
11D0011	20.01.2011	TM	a(i)	1			1056	40	2.29							300	4	33		13.56		180			10x10	Asahi-U	4					2.00E-06																																1064.04	24.91						QE jsc (11.2 / 10.0) pos. 1, cell 16					#NV	#NV	#NV	#NV	#NV	2
11D0011	20.01.2011	TM	a(i)	1			329	80	12.4							1700	4	33		13.56		180		272	10x10	Asahi-U	4											10.6	67.6	1333	11.8	16							ZnO/Ag-6	30' 160°C														346.39	49.03						pos 5: aluminum plate for laser ablation tests					#NV	#NV	#NV	#NV	#NV	2
11D0012	20.01.2011	TM	a(n)	1			582	93	8.77				22.7			51	4	34		13.56		180			10x10	Asahi-U	4											10.2	69.2	1306	11.3	13.8							ZnO/Ag-7	30' 160°C														593.16	57				14.13		QE jsc (11.8 / 12.3) pos. 6, cell 16					#NV	#NV	#NV	#NV	#NV	2
11D0013	20.01.2011	TM	µc(n)	1			3000	18	0.38				4			126	12.5	400		13.56		180			10x10	Asahi-U	4					1.00E-02						10.3	68.6	1324	11.3	14.9							ZnO/Ag-9	30' 160°C														2976.01	11.21				2.38		QE jsc (11.4 / 11.6) pos. 7, cell 17					#NV	#NV	#NV	#NV	#NV	2
11D0014	20.01.2011	TM	µc(p)	1			3000	8.6	0.18	0.8						132	12.5	400		13.56		180			10x10	Asahi-U	4					2.00E-06																																2976.01	5.36	1.01					QE jsc (11.4 / 11.6) pos. 9, cell 17					#NV	#NV	#NV	#NV	#NV	2
11D0015	20.01.2011	TM	µc(i)	1			3000	54	1.1							3840	12.5	520		13.56		180		240	10x10	Asahi-U	4					2.00E-06	2561.25	6.67	0.76	71.72																												2976.01	33.09											250	#NV	#NV	#NV	#NV	2
11D0016	20.01.2011	TM	a(n)	1			582	93	8.77				22.7			120	4	34		13.56		180			10x10	Asahi-U	4																																					593.16	57				14.13							#NV	#NV	#NV	#NV	#NV	2
11D0017	20.01.2011	TM	CO2	1								200				120	6	180		13.56					Dummy	Übrig																																										209.21								#NV	#NV	#NV	#NV	#NV	2
																																	2561.25																																											#NV	#NV	#NV	#NV	#NV	#NV
11D0018	20.01.2011	JW	µc(i) seed	1			3000	8.6	0.18							180	12.5	400		13.56		180										2.00E-06	19.8	1.1		73.1																												2976.01	5.36						Kombiniertes OES-Experiment Jan+Arjan					#NV	#NV	#NV	#NV	#NV	2
11D0019	20.01.2011	JW	µc(i)-->a(i)	1			800	30-85								5675	12.5	520		13.56		180		233																																								808.52							9 Dummy-Gläser					#NV	#NV	#NV	#NV	#NV	2
11D0020	20.01.2011	AF	µc(i) seed	1			3000	8.6	0.18							180	12.5	400		13.56		180										5.00E-02																																2976.01	5.36											#NV	#NV	#NV	#NV	#NV	2
11D0021	20.01.2011	AF	µc(i)	1			3000	52	1.06							194	12.5	520		13.56		180																																										2976.01	31.87						Arjan: Plasma wird nicht ausgeschaltet zwischen Schichten. Es wird nicht abgepumpt.					#NV	#NV	#NV	#NV	#NV	2
11D0022	20.01.2011	AF	µc(i)-->a(i)	1			3000	44-80								3894	12.5	520		13.56		180		231																																								2976.01							"Bei 11D0023 wurde aus Versehen T-Stabilisierung gemacht; manuell eingekürzt."					#NV	#NV	#NV	#NV	#NV	2
11D0023	20.01.2011	AF	µc(i)	1			3000	52	1.06							194	12.5	520		13.56		180																																										2976.01	31.87											#NV	#NV	#NV	#NV	#NV	2
11D0024	20.01.2011	AF	µc(i)-->a(i)	1			3000	44-80								1949	12.5	520		13.56		180		230																																								2976.01												#NV	#NV	#NV	#NV	#NV	2
11D0025	20.01.2011	AF	µc(i)	1			3000	52	1.06							194	12.5	520		13.56		180																																										2976.01	31.87											#NV	#NV	#NV	#NV	#NV	2
11D0026	20.01.2011	AF	µc(i)-->a(i)	1			3000	44-80								1067	12.5	520		13.56		180		229																																								2976.01												#NV	#NV	#NV	#NV	#NV	2
																																																																												#NV	#NV	#NV	#NV	#NV	#NV
11D0027	21.01.2011	TZ	a(p)	1			278	41	7.93	6.1	28					50	4	27		13.56		180			10x10	Asahi-U	3					9.00E-07	9	1.8		25.09		9	73.9	894	13.62	5.9	74.9	4.25	74.5	2.95	7.44E-10	1.48	Ag-1	30' 160°C														296.54	25.53	7.7	22.92			1,5,6	a-Si with simple i-layer at 72W					#NV	#NV	#NV	#NV	#NV	2
11D0028	21.01.2011	TZ	CO2	1								200				120	6	180		13.56					Dummy	Übrig												9.54	73.9	882	14.63	4.6	75.1	5.34	74.7	2.84	6.38E-10	1.44	ZnO/Ag-5	30' 160°C																		209.21								#NV	#NV	#NV	#NV	#NV	2
11D0029	21.01.2011	TZ	a(i)	1			329	80	12.4							800	4	72		13.56		180		266	10x10	Asahi-U	3					9.00E-07	355.45	4.44	0.66	32.25		9.59	73.8	884	14.71	4.6	74.4	5.33	73.1	2.86	5.87E-10	1.83	ZnO/Ag-6	30' 160°C														346.39	49.03											30	#NV	#NV	#NV	#NV	2
11D0030	21.01.2011	TZ	a(n)	1			582	93	8.77				22.7			85	4	34		13.56		180			10x10	Asahi-U	3						15.22	1.79		11.18																												593.16	57				14.13							#NV	#NV	#NV	#NV	#NV	2
11D0031	21.01.2011	TZ	CO2	1								200				120	6	180		13.56					Dummy	Übrig																																										209.21								#NV	#NV	#NV	#NV	#NV	2
																																	379.67																																											#NV	#NV	#NV	#NV	#NV	#NV
11D0032	21.01.2011	JW	µc(i) seed	1			3000	8.6	0.18							180	12.5	400		13.56		180			10x10	ZnO	3					2.00E-06	19.8	1.1		73.1																				23.75								2976.01	5.36						transition point det. At 800sccm					#NV	#NV	11	#NV	#NV	2
11D0033	21.01.2011	JW	µc(i)	1			800	42	3.13							2580	12.5	520		13.56		180		241	10x10	ZnO	3					9.00E-07	1283.53	4.97	2.68	67.7																												808.52	26.15											50	#NV	#NV	#NV	#NV	2
																																	1303.33																																											#NV	#NV	#NV	#NV	#NV	#NV
11D0034	21.01.2011	TZ	a(p)	1			278	41	7.93	6.1	28					50	4	27		13.56		180			10x10	Asahi-U	3					9.00E-07	9	1.8		25.09		9.23	73.6	894	14.03	5.7	74.9	4.44	75.3	2.97	9.18E-10	1.48	Ag-1	40' 160°C														296.54	25.53	7.7	22.92			1,5,6	a-Si with simple i-layer at 52W					#NV	#NV	#NV	#NV	#NV	2
11D0035	21.01.2011	TZ	CO2	1								200				120	6	180		13.56					Dummy	Übrig												9.59	73.5	878	14.87	5.5	75	5.46	74.1	2.87	9.05E-10	1.43	ZnO/Ag-5	30' 160°C																		209.21								#NV	#NV	#NV	#NV	#NV	2
11D0036	21.01.2011	TZ	a(i)	1			329	80	12.4							1040	4	52		13.56		180		264	10x10	Asahi-U	3					9.00E-07	355.45	3.42	0.13	24.81		9.67	73.6	881	14.9	4.7	75.4	5.48	74.1	2.88	8.21E-10	1.43	ZnO/Ag-6	30' 160°C														346.39	49.03											46	#NV	#NV	#NV	#NV	2
11D0037	21.01.2011	TZ	a(n)	1			582	93	8.77				22.7			85	4	34		13.56		180			10x10	Asahi-U	3						15.22	1.79		11.18																												593.16	57				14.13							#NV	#NV	#NV	#NV	#NV	2
11D0038	21.01.2011	TZ	CO2	1								200				120	6	180		13.56					Dummy	Übrig																																										209.21								#NV	#NV	#NV	#NV	#NV	2
																																	379.67																																											#NV	#NV	#NV	#NV	#NV	#NV
11D0039	24.01.2011	TM	a(p)	1			278	41	7.93	6.1	28					75	4	27		13.56		180			10x10	Asahi-U	4					9.00E-07						11.2	72	1368	11.4	8.96							ZnO/Ag-1	U														296.54	25.53	7.7	22.92			1,6,7,9	tandem cell like 10D1427 but without CO2 between µc-Si(n) and µc-Si(p)					#NV	#NV	#NV	#NV	#NV	2
11D0040	24.01.2011	TM	CO2	1								200				120	6	180		13.56					Dummy	Übrig												10.2	63.9	1353	11.7	10.53							ZnO/Ag-6	VU																		209.21			QE jsc (11.4 / 11.1) pos. 1, cell 31					#NV	#NV	#NV	#NV	#NV	2
11D0041	24.01.2011	TM	a(i)	1			1056	40	2.29							300	4	33		13.56		180			10x10	Asahi-U	4					9.00E-07						11.1	70.6	1369	11.5	9.14							ZnO/Ag-7	U														1064.04	24.91						pos 5: aluminum plate for laser ablation tests					#NV	#NV	#NV	#NV	#NV	2
11D0041	24.01.2011	TM	a(i)	1			329	80	12.4							1700	4	33		13.56		180		266	10x10	Asahi-U	4											11.4	73.5	1373	11.3	9.18							ZnO/Ag-9	U														346.39	49.03						QE jsc (11.9 / 12.1 ) pos. 6, cell 17					#NV	#NV	#NV	#NV	#NV	2
11D0042	24.01.2011	TM	a(n)	1			582	93	8.77				22.7			51	4	34		13.56		180			10x10	Asahi-U	4																																					593.16	57				14.13		QE jsc (11.6 / 11.6) pos. 7, cell 					#NV	#NV	#NV	#NV	#NV	2
11D0043	24.01.2011	TM	µc(n)	1			3000	18	0.38				4			126	12.5	400		13.56		180			10x10	Asahi-U	4					1.00E-02																																2976.01	11.21				2.38		QE jsc (11.4 /11.4 ) pos. 9, cell 1 					#NV	#NV	#NV	#NV	#NV	2
11D0044	24.01.2011	TM	µc(p)	1			3000	8.6	0.18	0.8						132	12.5	400		13.56		180			10x10	Asahi-U	4					9.00E-07																																2976.01	5.36	1.01					p(a)/CO2/i1i2(a)-n(a)n(µc)/pumping9x10-7, Ts stabil/p(µc)/CO2/i(µc)/n(a)/CO2 					#NV	#NV	#NV	#NV	#NV	2
11D0045	24.01.2011	TM	CO2	1								200				120	6	180		13.56					Dummy	Übrig																																										209.21			effect of P-cross contamination 					#NV	#NV	#NV	#NV	#NV	2
11D0046	24.01.2011	TM	µc(i)	1			3000	54	1.1							3840	12.5	520		13.56		180		236	10x10	Asahi-U	4					9.00E-07	2383	6.21	0.84	66.73																												2976.01	33.09											246	#NV	#NV	#NV	#NV	2
11D0047	24.01.2011	TM	a(n)	1			582	93	8.77				22.7			120	4	34		13.56		180			10x10	Asahi-U	4																																					593.16	57				14.13							#NV	#NV	#NV	#NV	#NV	2
11D0048	24.01.2011	TM	CO2	1								200				120	6	180		13.56					Dummy	Übrig																																										209.21								#NV	#NV	#NV	#NV	#NV	2
																																	2383																																											#NV	#NV	#NV	#NV	#NV	#NV
11D0049	24.01.2011	JW	µc(i) seed	1			3000	8.6	0.18							180	12.5	400		13.56		180			10x10	ZnO	9					2.00E-06	19.8	1.1		73.1																												2976.01	5.36						transition point det. At 800sccm					#NV	#NV	#NV	#NV	#NV	2
11D0050	24.01.2011	JW	µc(i)	1			800	32-45								4886	12.5	520		13.56		180			10x10	ZnO	9					5.00E-02																																808.52							pumping & T-Stab before each layer					#NV	#NV	#NV	#NV	#NV	2
																																																																												#NV	#NV	#NV	#NV	#NV	#NV
11D0051	25.01.2011	TZ	a(p)	1			278	41	7.93	6.1	28					50	4	27		13.56		180			10x10	Asahi-U	3					9.00E-07	9	1.8		25.09		8.73	71.7	897	13.58	6.3	73.2	4.26	72.1	2.96	1.77E-09	1.53	Ag-1	30' 160°C														296.54	25.53	7.7	22.92			1,5,6	a-Si with simple i-layer at 100W					#NV	#NV	#NV	#NV	#NV	2
11D0052	25.01.2011	TZ	CO2	1								200				120	6	180		13.56					Dummy	Übrig												9.23	73.9	886	14.1	4.7	74.8	4.99	72.9	2.81	6.25E-10	1.45	ZnO/Ag-5	30' 160°C																		209.21			Pos 6 bad ZnO? Ag back contact peeled off					#NV	#NV	#NV	#NV	#NV	2
11D0053	25.01.2011	TZ	a(i)	1			329	80	12.4							640	4	100		13.56		180		265	10x10	Asahi-U	3					9.00E-07	375.12	5.86	2.13	42.54		8.5	70.8	884	13.59	6.4	74	4.43	74.2	2.84	4.49E-10	1.43	ZnO/Ag-6	30' 160°C														346.39	49.03											78	#NV	#NV	#NV	#NV	2
11D0054	25.01.2011	TZ	a(n)	1			582	93	8.77				22.7			85	4	34		13.56		180			10x10	Asahi-U	3						15.22	1.79		11.18																												593.16	57				14.13							#NV	#NV	#NV	#NV	#NV	2
11D0055	25.01.2011	TZ	CO2	1								200				120	6	180		13.56					Dummy	Übrig																																										209.21								#NV	#NV	#NV	#NV	#NV	2
																																	399.33																																											#NV	#NV	#NV	#NV	#NV	#NV
11D0056	25.01.2011	TZ	a(p)	1			278	41	7.93	6.1	28					50	4	27		13.56		180			10x10	Asahi-U	3					9.00E-07	9	1.8		25.09		9.01	73.4	889	13.8	5.7	74.6	4.27	74.7	3.03	6.67E-10	1.46	Ag-1	30' 160°C														296.54	25.53	7.7	22.92			1,5,6	a-Si with simple i-layer at 72W					#NV	#NV	#NV	#NV	#NV	2
11D0057	25.01.2011	TZ	CO2	1								200				120	6	180		13.56					Dummy	Übrig																																										209.21			Pos 5 - substrate broken					#NV	#NV	#NV	#NV	#NV	2
11D0058	25.01.2011	TZ	a(i)	1			329	80	12.4							750	4	72		13.56		180		265	10x10	Asahi-U	3					9.00E-07	343.79	4.58	0.54	33.27		9.52	73.8	882	14.63	4.7	75.2	5.31	73.9	2.88	6.29E-10	1.44	ZnO/Ag-6	30' 160°C														346.39	49.03											90	#NV	#NV	#NV	#NV	2
11D0059	25.01.2011	TZ	a(n)	1			582	93	8.77				22.7			85	4	34		13.56		180			10x10	Asahi-U	3						15.22	1.79		11.18																												593.16	57				14.13							#NV	#NV	#NV	#NV	#NV	2
11D0060	25.01.2011	TZ	CO2	1								200				120	6	180		13.56					Dummy	Übrig																																										209.21								#NV	#NV	#NV	#NV	#NV	2
																																	368																																											#NV	#NV	#NV	#NV	#NV	#NV
11D0061	25.01.2011	JW	µc(i) seed	1			3000	8.6	0.18							180	12.5	400		13.56					10x10	ZnO	2					2.00E-06	19.8	1.1		73.1																												2976.01	5.36						transition point det. At 800sccm II					#NV	#NV	#NV	#NV	#NV	2
11D0062	25.01.2011	JW	µc(i)	1			800	39.7	2.97							2580	12.5	520		13.56				239	10x10	ZnO	2					9.00E-07	1312.2	5.09	0.68	73.22																				35.265								808.52	24.72											62	#NV	23	#NV	#NV	2
																																																																												#NV	#NV	#NV	#NV	#NV	#NV
11D0063	26.01.2011	TM	a(p)	1			278	41	7.93	6.1	28					75	4	27		13.56		180			10x10	Asahi-U	4					9.00E-07						11.3	72.2	1381	11.3	9.83							ZnO/Ag-1	U														296.54	25.53	7.7	22.92			1,6,7,9	tandem cell like 10D1427 but without CO2 before a-Si(i) and µc-Si(i)					#NV	#NV	#NV	#NV	#NV	2
11D0064	26.01.2011	TM	a(i)	1			1056	40	2.29							300	4	33		13.56		180			10x10	Asahi-U	4					9.00E-07						11.7	73.4	1378	11.5	9.39							ZnO/Ag-6	VU														1064.04	24.91						QE jsc (11.3 / 11.8) pos. 1, cell 16					#NV	#NV	#NV	#NV	#NV	2
11D0064	26.01.2011	TM	a(i)	1			329	80	12.4							1700	4	33		13.56		180		265	10x10	Asahi-U	4											11.2	72.5	1380	11.2	10.69							ZnO/Ag-7	U														346.39	49.03						pos 5: aluminum plate for laser ablation tests					#NV	#NV	#NV	#NV	#NV	2
11D0065	26.01.2011	TM	a(n)	1			582	93	8.77				22.7			51	4	34		13.56		180			10x10	Asahi-U	4											11.2	73	1378	11.1	10.41							ZnO/Ag-9	U														593.16	57				14.13		QE jsc (11.5 / 12.2) pos. 6, cell 16 					#NV	#NV	#NV	#NV	#NV	2
11D0066	26.01.2011	TM	µc(n)	1			3000	18	0.38				4			126	12.5	400		13.56		180			10x10	Asahi-U	4					1.00E-02																																2976.01	11.21				2.38		QE jsc (11.2 / 11.7) pos. 7, cell 17					#NV	#NV	#NV	#NV	#NV	2
11D0067	26.01.2011	TM	CO2	1								200				120	6	180		13.56					Dummy	Übrig																																										209.21			QE jsc (11.1 / 11.5) pos. 9, cell 					#NV	#NV	#NV	#NV	#NV	2
11D0068	26.01.2011	TM	µc(p)	1			3000	8.6	0.18	0.8						132	12.5	400		13.56		180			10x10	Asahi-U	4					9.00E-07																																2976.01	5.36	1.01					top limitted					#NV	#NV	#NV	#NV	#NV	2
11D0069	26.01.2011	TM	µc(i)	1			3000	54	1.1							3840	12.5	520		13.56		180		235	10x10	Asahi-U	4					9.00E-07	2460	6.41	4.45	68.89																												2976.01	33.09						p(a)/pumping 9x10-7 Ts stabil/i1i2(a)-n(a)n(µc)/CO2/p(µc)/pumping 9x10-7 Ts stab/i(µc)/n(a)/CO2 					242	#NV	#NV	#NV	#NV	2
11D0070	26.01.2011	TM	a(n)	1			582	93	8.77				22.7			120	4	34		13.56		180			10x10	Asahi-U	4																																					593.16	57				14.13		effect of B-cross contamination 					#NV	#NV	#NV	#NV	#NV	2
11D0071	26.01.2011	TM	CO2	1								200				120	6	180		13.56					Dummy	Übrig																																										209.21			pin(a-Si)/CO2/pin(µc-Si)					#NV	#NV	#NV	#NV	#NV	2
																																																																												#NV	#NV	#NV	#NV	#NV	#NV
11D0072	26.01.2011	JW	µc(p)	1			3000	8.6	0.18	0.8						132	12.5	400		13.56		180			10x10	Asahi-U	3					9.00E-07	14.52	1.1		73.1																												2976.01	5.36	1.01					1st µc-Si cell with i-layer at low gas flow					#NV	#NV	#NV	#NV	#NV	2
11D0073	26.01.2011	JW	CO2	1								200				120	6	180		13.56					Dummy	Übrig																																										209.21								#NV	#NV	#NV	#NV	#NV	2
11D0074	26.01.2011	JW	µc(i)	1			800	39.7	2.97							2580	12.5	520		13.56		180		237	10x10	Asahi-U	3					9.00E-07	#WERT!																															808.52	24.72											#NV	#NV	#NV	#NV	#NV	2
11D0075	26.01.2011	JW	a(n)	1			582	93	8.77				22.7			85	4	34		13.56		180			10x10	Asahi-U	3						15.22	1.79		11.18																												593.16	57				14.13							#NV	#NV	#NV	#NV	#NV	2
11D0076	26.01.2011	JW	CO2	1								200				120	6	180		13.56					Dummy	Übrig																																										209.21								#NV	#NV	#NV	#NV	#NV	2
																																	#WERT!																																											#NV	#NV	#NV	#NV	#NV	#NV
11D0077	27.01.2011	DW	µc(p)	1			3000	8.6	0.18	0.8						180	12.5	400		13.56		180			10x10	ZnO	3					9.00E-07	19.8	1.1		73.1		5.22	56.5	499	18.54	5.5	57.7	10.15	59.7	2.78	2.77E-04	1.9	Ag-1	über Nacht 160°C						65.7								2976.01	5.36	1.01				1,5,6	std µc-Si auf altem Einsatz,auf neuem Carrier					#NV	#NV	27	#NV	#NV	2
11D0078	27.01.2011	DW	CO2	1								200				120	6	180		13.56					Dummy	Übrig												8.09	67.4	509	23.6	3.2	69.2	13.86	69.2	2.9	2.53E-05	1.48	ZnO/Ag-5	30' 160°C																		209.21			-1 Über Nacht im Ofen					#NV	#NV	#NV	#NV	#NV	2
11D0079	27.01.2011	DW	µc(i)	1			3000	52	1.06							2580	12.5	555		13.56		180		236	10x10	ZnO	3					9.00E-07	1399.99	5.43	2.26	60.59		8.13	67.6	514	23.39	3.1	68.8	13.59	68.8	2.84	4.03E-05	1.55	ZnO/Ag-6	30' 160°C														2976.01	31.87											94	#NV	#NV	#NV	#NV	2
11D0080	27.01.2011	DW	a(n)	1			582	93	8.77				22.7			85	4	34		13.56		180			10x10	ZnO	3						15.22	1.79		11.18																												593.16	57				14.13							#NV	#NV	#NV	#NV	#NV	2
11D0081	27.01.2011	DW	CO2	1								200				120	6	180		13.56					Dummy	Übrig																																										209.21								#NV	#NV	#NV	#NV	#NV	2
																																	1435																																											#NV	#NV	#NV	#NV	#NV	#NV
11D0082	27.01.2011	AF	µc(p)	1			3000	8.6	0.18	0.8						180	12.5	400		13.56		180			10x10	ZnO	3					9.00E-07																																2976.01	5.36	1.01					"Zick-Zack; 52+-5 sccm; 33 periods; 76s --> 41 nm/period"					#NV	#NV	#NV	#NV	#NV	2
11D0083	27.01.2011	AF	CO2	1								200				120	6	180		13.56					Dummy	Übrig																																										209.21			"Gasalarm; während i-Schicht (11D0084) abgebrochen."					#NV	#NV	#NV	#NV	#NV	2
11D0084	27.01.2011	AF	µc(i)	1			3000	52	1.06							2508	12.5	555		13.56		180			10x10	ZnO	3					9.00E-07																																2976.01	31.87						Proben weggeschmissen					#NV	#NV	#NV	#NV	#NV	2
11D0085	27.01.2011	AF	a(n)	1			582	93	8.77				22.7			85	4	34		13.56		180			10x10	ZnO	3																																					593.16	57				14.13							#NV	#NV	#NV	#NV	#NV	2
11D0086	27.01.2011	AF	CO2	1								200				120	6	180		13.56					Dummy	Übrig																																										209.21								#NV	#NV	#NV	#NV	#NV	2
																																																																												#NV	#NV	#NV	#NV	#NV	#NV
11D0087	28.01.2011	AF	µc(p)	1			3000	8.6	0.18	0.8						180	12.5	400		13.56		180			10x10	ZnO	3					9.00E-07	19.8	1.1		73.1		6.51	71.3	509	17.94	2.9	71.4	8.39	70	3	3.44E-05	1.52	Ag-1	30' 160°C						63.4								2976.01	5.36	1.01				1,5,6	"Zick-Zack; 51+-12 sccm; 33 periods; 78s --> 41 nm/period"					#NV	#NV	31	#NV	#NV	2
11D0088	28.01.2011	AF	CO2	1								200				120	6	180		13.56					Dummy	Übrig												6.83	60.8	466	24.11	4.1	64.8	13.95	67.1	2.96	7.93E-05	1.59	ZnO/Ag-5	30' 160°C																		209.21			p-Schicht semimanuell gestartet (Wicon-Problem). Danach Anlage inkl. Pumpen neugestartet. Wieder					#NV	#NV	#NV	#NV	#NV	2
11D0089	28.01.2011	AF	µc(i)	1			3000	51	1.04							2574	12.5	555		13.56		180		236	10x10	ZnO	3					9.00E-07	1359.32	5.28	6.97	60.13		7.89	65.3	510	23.66	3.7	67.5	13.76	67.5	2.93	7.37E-05	1.62	ZnO/Ag-6	30' 160°C														2976.01	31.26						Rezept neu gestartet und bei Schicht #5 angefangen (i-Schicht)					98	#NV	#NV	#NV	#NV	2
11D0090	28.01.2011	AF	a(n)	1			582	93	8.77				22.7			85	4	34		13.56		180			10x10	ZnO	3						15.22	1.79		11.18																												593.16	57				14.13							#NV	#NV	#NV	#NV	#NV	2
11D0091	28.01.2011	AF	CO2	1								200				120	6	180		13.56					Dummy	Übrig																																										209.21								#NV	#NV	#NV	#NV	#NV	2
																																	1394.33																																											#NV	#NV	#NV	#NV	#NV	#NV
11D0092	28.01.2011	TZ	a-Si(i)	1			329	80	12.4							1470	4	52		13.56				257	10x10	Corning	2						437	2.97	2.29	21.58															3.56E-11	4.37E-11	1.02E-04	2.86E+06								1.91	6.9	346.39	49.03											126	35	#NV	#NV	20	2
																																																																												#NV	#NV	#NV	#NV	#NV	#NV
