Nr.	Datum	Operator	Schicht	Kammer	vSubstr LQ	Pendel#	H2	SiH4	SC	TMB	CH4	CO2	PH3	Gas?	Gasfluss	t	p	P	Pump nach	f	del	Ts	Th	Th depo	Subst	Subst	Anzahl	Pr	CL	CT	UDC	Basis p	d	R	?d/d¯	Deplet	R dyn	h	FF	Voc	jsc	Rs	FF rot	jsc rot	FF blau	jsc blau	j0	n	Reflekt	Anneal	sd nT	sd vT/oT	sph	Photosens	Krist (%)	Krist (%)	Sims [O]	Sims [C]	Sims [N]	Sims [B]	Sims [?]	PDS E04	PDS a 1,2	H2	SiH4	TMB	CH4	CO2	PH3		Bemerkung					Hilfe-Spalten					
					(m/s)	LQ	(sccm)	(sccm)	(%)	(sccm)	(sccm)	(sccm)	(sccm)		(sccm)	(s)	(mbar)	(W)	Schicht (s)	(Hz)	(mm)	(°C)	(°C)	(°C)	Größe	Material	Gläser	(W)			(V)	(mbar)	(nm)	(Å/s)	(%)	(%)	(nm·m/min)	(%)	(%)	(mV)	(mA/cm²)	(W)	(%)	(mA/cm²)	(%)	(mA/cm²)	(mA/cm²)	(-)			(S/cm)	(S/cm)	(S/cm)	(-)	488 nm	647 nm	(cm-3)	(cm-3)	(cm-3)	(cm-3)	(cm-3)	(eV)	eV (cm-1)	Cal sccm	Cal sccm	Cal sccm	Cal sccm	Cal sccm	Cal sccm				Größe	Material		DS-Zeile	Leitf-Zeile	Cryst-Zeile	Sims-Zeile	PDS-Zeile	Cal-Zeile
																																																																							Reinigung PC1 und PC2, Schieber PC2/PC1 + PC1/LC. Einbau Platte PC2, MKS Verrohrung, Gasduschen		10x10	Corning		#NV	#NV	#NV	#NV	#NV	#NV
11D0001	17.01.2011	AF	a(i)	1			329	80	12.4							2700	4	33		13.56		180										~2E-6																																346.39	49.03						Blindbeschichtung PC1, neuer Car mit OES-Schiene. Std a-Si		40x40	ZnO		#NV	#NV	#NV	#NV	#NV	2
11D0002	17.01.2011	TZ/AF	a(i)	2			350	250	29.46							1800	1	44/40		60		kalt										~1E-6																																366.84	153.22						Beschichtung Platte+Elektrode PC2 mit Std a-Si 1 mbar		40x40x0,18	Asahi-U		#NV	#NV	#NV	#NV	#NV	2
																																																																							Reinigung PC3 und Schieber PC3/PC2		Dummy	Alu-Folie		#NV	#NV	#NV	#NV	#NV	#NV
11D0003	19.01.2011	JW	µc(i) seed	1			3000	8.6	0.18							180	12.5	400		13.56		180			10x10	Asahi-U	1					2.00E-06	19.8	1.1		73.1																												2976.01	5.36						"OES-Experiment: SC-Steps (3sccm) between 31 and 88 sccm;"		Übrig	Fensterglas		#NV	#NV	#NV	#NV	#NV	2
11D0004	19.01.2011	JW	µc(i)-->a(i)	1			600	31-88								5500	12.5	520		13.56		180		238	10x10	Asahi-U	1					2.00E-06																																610.84							Zwischen Schritten 60s H2-Plasma. Achtung, BF macht bei dem Fluss/carrier Probleme!			fz-c-Si		#NV	#NV	#NV	#NV	#NV	2
																																																																										sz-c-Si		#NV	#NV	#NV	#NV	#NV	#NV
11D0005	19.01.2011	TZ	a(p)	1			278	41	7.93	6.1	28					50	4	27		13.56		180			10x10	Asahi-U	3					9.00E-07	9	1.8		25.09		9.09	73.7	877	14.07	5.8	75	4.52	75.7	2.97			Ag-1	30' 160°C														296.54	25.53	7.7	22.92			1,5,6	std a-Si with simple i-layer			Übrig		#NV	#NV	#NV	#NV	#NV	2
11D0006	19.01.2011	TZ	CO2	1								200				120	6	180		13.56					Dummy	Übrig												9.66	74.1	863	15.1	4.5	75.5	5.66	74.8	2.9	1.10E-09	1.42	ZnO/Ag-5	30' 160°C																		209.21								#NV	#NV	#NV	#NV	#NV	2
